Time,AccX,AccY,AccZ
""
""
0,1992,-64,17580
1,1992,-64,17580
2,1960,-16,17588
3,1976,-192,17608
4,1940,-200,17632
5,2000,-176,17760
6,2068,-144,17632
7,2012,-76,17544
8,1988,-48,17532
9,2072,-124,17592
10,2132,-56,17548
11,2048,-104,17520
12,2048,-104,17520
13,2016,-132,17468
14,1972,-120,17572
15,1980,-68,17640
16,1980,-68,17652
17,2008,-164,17624
18,2044,-172,17496
19,2064,-100,17556
20,2052,-220,17664
21,2068,-88,17620
22,2048,0,17552
23,2048,0,17552
24,2068,24,17712
25,1904,-40,17612
26,1828,-132,17516
27,1944,-188,17404
28,2000,-116,17560
29,1968,-196,17528
30,2004,-148,17664
31,2072,-140,17656
32,1980,-156,17648
33,1992,-240,17572
34,1992,-240,17572
35,2016,-176,17540
36,2044,-96,17520
37,2088,-176,17644
38,2088,-196,17520
39,2056,-136,17456
40,1956,-220,17500
41,1924,-232,17660
42,1928,-208,17576
43,1992,-192,17444
44,1976,-156,17524
45,1976,-156,17524
46,2004,-136,17624
47,1928,-148,17516
48,1956,-152,17508
49,1960,-76,17512
50,1984,-200,17508
51,1972,-120,17540
52,2000,-172,17664
53,1940,-132,17648
54,1968,-240,17596
55,1968,-240,17596
56,2044,-132,17580
57,1940,-60,17488
58,2020,-60,17644
59,2044,-96,17636
60,2020,-56,17608
61,1984,-120,17620
62,1976,-92,17556
63,1944,-72,17544
64,1924,-260,17564
65,1916,-80,17388
66,1916,-80,17388
67,1864,-156,17556
68,1992,-132,17620
69,1988,-112,17724
70,2056,-144,17588
71,2032,-200,17580
72,1904,-180,17672
73,1904,-196,17668
74,1916,-76,17608
75,1828,-268,17608
76,1912,-216,17736
77,1912,-216,17736
78,2052,-120,17728
79,1944,-80,17724
80,1948,-160,17660
81,1996,-164,17556
82,1896,-180,17484
83,1916,-184,17600
84,1996,-176,17696
85,1968,-88,17800
86,1964,-116,17624
87,2068,-172,17668
88,2068,-172,17668
89,2000,-160,17436
90,1928,-144,17520
91,1908,-100,17740
92,1988,-100,17640
93,1984,-60,17576
94,2068,-148,17576
95,2036,-128,17568
96,2012,-200,17500
97,1988,-240,17664
98,1936,-192,17648
99,1936,-192,17648
100,1932,-156,17684
101,1992,-160,17592
102,1956,-28,17460
103,1932,-72,17576
104,1984,40,17620
105,2012,-112,17716
106,2012,-188,17612
107,1964,-192,17608
108,2012,-168,17708
109,2056,-84,17640
110,2056,-84,17640
111,2040,-44,17652
112,1936,-92,17628
113,1996,-124,17516
114,1992,-156,17556
115,2000,-68,17544
116,1944,-104,17736
117,2032,-72,17704
118,2012,-76,17572
119,2084,-140,17524
120,2084,-160,17492
121,2084,-160,17492
122,2020,-216,17372
123,1960,-140,17472
124,2040,-72,17620
125,1952,-96,17436
126,1892,-124,17532
127,1976,-148,17620
128,1968,-112,17552
129,1976,-184,17544
130,1960,-180,17544
131,1972,-152,17540
132,1972,-152,17540
133,2060,-164,17544
134,1912,-200,17576
135,1932,-152,17520
136,1968,-156,17656
137,1900,-132,17560
138,1916,-192,17716
139,1960,-188,17772
140,1936,-100,17636
141,1944,-88,17592
142,1972,-156,17624
143,1972,-156,17624
144,2044,-112,17596
