Time,AccX,AccY,AccZ
""
""
0,2496,-240,17632
1,2516,-152,17496
2,2592,-160,17480
3,2592,-160,17480
4,2596,-68,17604
5,2528,-76,17616
6,2464,-44,17584
7,2516,-40,17556
8,2600,-100,17580
9,2592,-92,17496
10,2676,-80,17532
11,2648,-156,17636
12,2592,-84,17628
13,2616,-136,17640
14,2616,-136,17640
15,2504,-68,17628
16,2472,-92,17688
17,2476,-76,17524
18,2600,-120,17640
19,2564,-84,17680
20,2548,-120,17688
21,2552,-40,17688
22,2516,-72,17636
23,2540,-148,17512
24,2532,-192,17620
25,2532,-192,17620
26,2584,-12,17652
27,2600,-12,17608
28,2576,-8,17656
29,2544,-92,17576
30,2592,-60,17600
31,2548,-108,17580
32,2508,-120,17512
33,2560,-136,17572
34,2476,-196,17580
35,2496,-124,17636
36,2496,-124,17636
37,2488,-40,17728
38,2564,-64,17612
39,2540,-92,17544
40,2496,-40,17436
41,2464,-60,17532
42,2560,-112,17608
43,2644,-112,17544
44,2536,-28,17584
45,2464,-68,17656
46,2464,-68,17656
47,2448,76,17712
48,2496,-64,17568
49,2528,-60,17632
50,2540,-112,17580
51,2524,-76,17588
52,2456,-172,17540
53,2528,-88,17484
54,2484,-248,17536
55,2480,-96,17652
56,2572,-156,17596
57,2572,-156,17596
58,2516,-128,17680
59,2420,-108,17616
60,2436,-168,17612
61,2532,-140,17624
62,2536,-72,17620
63,2516,-164,17600
64,2540,-96,17596
65,2420,-36,17600
66,2492,-160,17640
67,2496,-76,17556
68,2496,-76,17556
69,2528,-144,17624
70,2568,-112,17640
71,2552,-180,17520
72,2552,-88,17536
73,2532,-100,17620
74,2400,-72,17528
75,2560,-140,17612
76,2488,0,17624
77,2548,-68,17676
78,2496,-84,17604
79,2496,-84,17604
80,2524,-144,17588
81,2580,-76,17604
82,2572,-68,17528
83,2600,-112,17520
84,2636,-140,17512
85,2560,-48,17460
86,2464,-224,17576
87,2504,-176,17540
88,2396,-160,17564
89,2476,-64,17448
90,2476,-64,17448
91,2540,-80,17556
92,2560,-212,17668
93,2600,-216,17616
94,2544,-132,17568
95,2484,-8,17532
96,2468,-128,17608
97,2452,-68,17608
98,2472,-68,17692
99,2544,-132,17532
100,2556,-104,17452
101,2556,-104,17452
102,2532,-8,17568
103,2540,-200,17644
104,2512,-108,17592
105,2500,-208,17444
106,2480,-96,17484
107,2484,-220,17520
108,2504,-160,17516
109,2500,-80,17536
110,2460,-128,17616
111,2584,-92,17436
112,2584,-92,17436
113,2624,-44,17616
114,2624,-148,17488
115,2552,-120,17532
116,2448,-140,17632
117,2492,-156,17532
118,2456,-76,17628
119,2444,-116,17512
120,2580,-4,17364
121,2424,-16,17540
122,2456,-88,17440
123,2456,-88,17440
124,2432,-164,17608
125,2496,-72,17672
126,2560,-208,17596
127,2548,-152,17796
128,2588,-124,17788
129,2564,-120,17628
130,2424,-100,17708
131,2448,-32,17596
132,2496,-124,17532
133,2484,-104,17624
134,2484,-104,17624
135,2568,-172,17588
136,2568,-44,17560
137,2592,-164,17740
138,2544,-72,17600
139,2496,-204,17588
140,2472,-160,17592
141,2568,-144,17544
142,2532,-164,17588
143,2564,-96,17520
